Distance from mouth (km),M2 amp.,M2 phase,M4 amp.,M4 phase
0,1.770002543,-2.90E-05,0.139997975,-0.022806524
4183.462891,1.787273215,-0.040537045,0.143565526,-0.110782434
8191.239746,1.803164264,-0.083736006,0.146223735,-0.191823131
15760.35059,1.813847313,-0.194071584,0.150791956,-0.346339912
19240.41992,1.823413298,-0.248491025,0.154850028,-0.416816051
25574.30469,1.832098782,-0.350804238,0.163478727,-0.523026136
31124.79492,1.844716883,-0.438936952,0.174141433,-0.610785336
36026.53516,1.862601993,-0.510247046,0.186459967,-0.687914427
40345.77344,1.876393461,-0.569999298,0.198435937,-0.752820201
44166.18359,1.890480919,-0.619764353,0.209873253,-0.809169386
50601.33203,1.917066931,-0.695229022,0.230649796,-0.904582011
54605.46094,1.933596208,-0.738264346,0.244091727,-0.960093709
60140.83203,1.955809756,-0.795116428,0.263177046,-1.037328266
64637.66797,1.973104261,-0.838578441,0.279199849,-1.099760583
69734.67188,1.991428874,-0.887142886,0.297767989,-1.17172812
74912.47656,2.008338778,-0.936440545,0.317123047,-1.245191122
79889.96094,2.021526279,-0.985206344,0.33631456,-1.319616302
84872.625,2.030430098,-1.036711412,0.356000011,-1.399230043
89898.83594,2.034473077,-1.093373587,0.376534169,-1.48258777
94940.5,2.03003712,-1.156291205,0.39715663,-1.577047623
99956.96094,2.01331483,-1.227388486,0.417821219,-1.684429838
105042.0234,1.980680729,-1.311706512,0.439434794,-1.80190424
110012.0078,1.922183063,-1.40711899,0.455131608,-1.943766003
114967.7891,1.838374182,-1.522292731,0.470436129,-2.110514528
120031.7891,1.709990362,-1.663226076,0.471107242,-2.328875496
124979.125,1.564462001,-1.827462998,0.461530589,-2.584195888
130022.9531,1.413341182,-2.01203118,0.43254822,-2.89843019
134985.5625,1.284484604,-2.20470499,0.399201256,3.034677595
140013.9531,1.17938304,-2.400096054,0.373642847,2.628696557
144996.4219,1.095744534,-2.582897064,0.367812716,2.220839419
150009.625,1.029042622,-2.73824884,0.381962572,1.872164652
155013.0156,0.968994199,-2.841830376,0.397379798,1.641250659
160000,0.900916355,-2.878526781,0.388420491,1.535175644
